"timestep","group0_trust_in_sp0.mean","group0_trust_in_sp0.sd","group0_trust_in_sp1.mean","group0_trust_in_sp1.sd","group0_trust_in_sp2.mean","group0_trust_in_sp2.sd","group1_trust_in_sp0.mean","group1_trust_in_sp0.sd","group1_trust_in_sp1.mean","group1_trust_in_sp1.sd","group1_trust_in_sp2.mean","group1_trust_in_sp2.sd","group2_trust_in_sp0.mean","group2_trust_in_sp0.sd","group2_trust_in_sp1.mean","group2_trust_in_sp1.sd","group2_trust_in_sp2.mean","group2_trust_in_sp2.sd","group3_trust_in_sp0.mean","group3_trust_in_sp0.sd","group3_trust_in_sp1.mean","group3_trust_in_sp1.sd","group3_trust_in_sp2.mean","group3_trust_in_sp2.sd"
0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
1,0.575324673249708,0.00866315008268897,0.501103381585573,0.00173137432696157,0.589000047660882,0.00853750784214352,0.502550529236559,0.00462362634104902,0.661840371556548,0.00516693472339596,0.501238152588153,0.00284939153094565,0.572585156403257,0.0084553277084911,0.501380097608844,0.00200213721958912,0.591318236387334,0.00858710512698365,0.502246524771525,0.00491199549828801,0.661916219170263,0.0059687885994835,0.501421019612196,0.00265206801436442
2,0.609371285294384,0.0127047843725873,0.501606590136157,0.00201979588436503,0.627190592530462,0.0173898287140237,0.503724845355548,0.00562414593483552,0.729760989543272,0.0124428138275488,0.503450371567055,0.00570755590012979,0.606319011253313,0.0129889484004559,0.501511470789033,0.00227936939929364,0.629189273283,0.0178412886682616,0.5044219122273,0.00695875947714289,0.73036984633281,0.012741913530693,0.503037124387671,0.0039246686263999
3,0.627766738492018,0.0152014453617093,0.502148269596869,0.00335169805519988,0.647517956294172,0.0239155695161002,0.504269314354614,0.00578173599741304,0.764951585573663,0.0213185132700562,0.505217339098749,0.00847727609951214,0.624085839462501,0.0149235396526198,0.50231398554678,0.00319823212175494,0.649817044731444,0.0248417930060976,0.506596900856145,0.0083909259255455,0.763177293783655,0.0221602299187118,0.504595969794162,0.00681146952530019
4,0.63887861758471,0.0166002295900046,0.502654736440372,0.0031135686739091,0.659513609548191,0.0279880726883943,0.506930010622761,0.0111171039165704,0.782155672037343,0.0287824423978333,0.507496917000864,0.0106962352377638,0.63487721464112,0.0158795656650666,0.503028318730231,0.0037810885189774,0.661731642189222,0.0297160043070681,0.50725063162004,0.00782803108043913,0.785940488980462,0.0234011470827227,0.505222439094868,0.00483220203259507
5,0.6456694979122,0.019773709077783,0.502975061744201,0.00339557344812366,0.666088947847256,0.0321098226122056,0.507259223740492,0.00787051974364233,0.795183893647628,0.0344274311120965,0.509980426472998,0.0169783685385268,0.640907611921923,0.0182632145421224,0.502914067279731,0.00378714827578194,0.667689632998787,0.0331123550058157,0.509996601391012,0.00933538711614765,0.800559608026748,0.0249504063042349,0.505978352818013,0.00581814427752102
6,0.649528624337656,0.022900787955848,0.503844735930791,0.00362068508920243,0.670752335341043,0.0356743674532517,0.507557770654804,0.00892234096599311,0.804374951581281,0.0359180491615588,0.510224929622882,0.0109579352154872,0.644335171270862,0.0212710040333792,0.502951781416792,0.00345881685686943,0.672780662339923,0.0351013605720486,0.5093062235294,0.0087083849887093,0.809421773632898,0.0273408553808672,0.50742744806984,0.00673539418474307
7,0.652799902429554,0.0254162574208808,0.503341149906847,0.00292770247173709,0.673675287587653,0.0373536800400003,0.50894785268863,0.00916238448657593,0.808140036298482,0.0383209198797362,0.509960820589552,0.0127841406631265,0.646521576342076,0.0245000895745878,0.503781898715028,0.00396159573889551,0.675005737713592,0.0378646727360765,0.510481184215785,0.009214454116847,0.8144952472325,0.0304662066853632,0.508213620168591,0.00651641072824246
8,0.653949830802028,0.027101102808213,0.504403311902448,0.00421278229133132,0.674297036739363,0.0395046077403924,0.509207606817735,0.0084687906868178,0.811675195459134,0.0426272298079013,0.510017181023294,0.0109996919913936,0.648190970105875,0.0266644052946832,0.50393712869102,0.00374775450115632,0.676294282758902,0.0411631065719407,0.512704764158731,0.0129042678121381,0.81676479916351,0.0353145713030537,0.50870851290639,0.00708799815725451
9,0.653875883392909,0.0298450289184145,0.504469513099147,0.00367472893236766,0.675965727261083,0.0414248767205928,0.510181077065947,0.0105738157128145,0.813498735596763,0.0478776178963042,0.510773622182854,0.0109437229156485,0.648496426888591,0.0267191015920022,0.503489523258627,0.00366666981751628,0.676972457549873,0.0442647707222844,0.512323251784233,0.0112490846832815,0.818864757416382,0.0406049770835529,0.511057945600356,0.0105619274375279
