"timestep","episode_mean","episode_sd","group0_trust_in_sp0_mean","group0_trust_in_sp0_sd","group0_trust_in_sp1_mean","group0_trust_in_sp1_sd","group0_trust_in_sp2_mean","group0_trust_in_sp2_sd","group1_trust_in_sp0_mean","group1_trust_in_sp0_sd","group1_trust_in_sp1_mean","group1_trust_in_sp1_sd","group1_trust_in_sp2_mean","group1_trust_in_sp2_sd","group2_trust_in_sp0_mean","group2_trust_in_sp0_sd","group2_trust_in_sp1_mean","group2_trust_in_sp1_sd","group2_trust_in_sp2_mean","group2_trust_in_sp2_sd","group3_trust_in_sp0_mean","group3_trust_in_sp0_sd","group3_trust_in_sp1_mean","group3_trust_in_sp1_sd","group3_trust_in_sp2_mean","group3_trust_in_sp2_sd"
0,50.5,29.011491975882,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0
1,50.5,29.011491975882,0.587700213675214,0.00203955112749964,0.501658333333333,0.00204208320494957,0.576013247863248,0.00315584893874805,0.5,0,0.663825396825397,0.00190829931800777,0.501214285714286,0.00119623427094212,0.568188596491228,0.000695454510402562,0.500447368421053,0.00047056950115297,0.594070175438596,0.000902264429268418,0.5006875,0.000682022743350006,0.660802083333333,0.0019622594339534,0.500854166666667,0.00121532287073628
2,50.5,29.011491975882,0.623172447799769,0.0249484053067315,0.500230769230769,0.000214063361522236,0.609785361264141,0.00399007136625925,0.502142857142857,0.00938755343818245,0.726591638246811,0.014942191363573,0.506698496905393,0.00864696213032924,0.595141116172283,0.0192757725873588,0.501996920711775,0.00247729218333382,0.634224017238816,0.00518814976917265,0.501301765095959,0.00154096105989472,0.731295068133354,0.0101019477339924,0.501738771649243,0.00136565932266913
3,50.5,29.011491975882,0.639588462252749,0.0384747318940628,0.500642603967922,0.000226594328069373,0.626877422083176,0.0097245327580964,0.502370073891626,0.00869054963385764,0.755406955635552,0.0260055100632949,0.514478086081579,0.0137455079067133,0.60760737562148,0.0297354116518825,0.500925057739219,0.000653941904714138,0.659078647246567,0.0139327640981414,0.50840906217862,0.0115323866760304,0.762371954651717,0.0216578552653517,0.503520059411065,0.00431281970675252
4,50.5,29.011491975882,0.648021543542196,0.0480632224321648,0.501479431411513,0.00150989017647845,0.634395535563082,0.0196614122816827,0.502728281004388,0.00799321554636601,0.781356870024212,0.0322823484003521,0.508910754336652,0.0075173495106651,0.615915194130566,0.0357143111210225,0.502253564910201,0.00297705719831257,0.668441060053132,0.0262990528242988,0.506397958831906,0.0067249917768206,0.782785622857466,0.0272568114834082,0.502565417395591,0.00295822221600864
5,50.5,29.011491975882,0.655693025382331,0.0528269510389584,0.501584725843492,0.00154848514226944,0.638082656639247,0.0292116829485335,0.502531234442485,0.007407273739155,0.787571842944514,0.0432057732940213,0.515403758848727,0.0164538445682894,0.619812301781856,0.0384998285776645,0.506295381803657,0.00472710606552116,0.671111957018597,0.036948753363702,0.503441364261914,0.00347638107191665,0.801071145164962,0.0382593884416754,0.502813228021875,0.00203655299170456
6,50.5,29.011491975882,0.656237199426857,0.0551024013617655,0.503561799318709,0.0033680405644842,0.641972862648897,0.0353820007111618,0.502968981895685,0.00864366710442746,0.800714975322694,0.0445071948355079,0.509683259605424,0.00683724374501922,0.622598288300268,0.0411645775173684,0.504606771064035,0.00514076991617725,0.674670758960937,0.0449768273645611,0.507048033302698,0.00536023820091062,0.80161104945788,0.0431642222220353,0.505777583951189,0.00778753910767422
7,50.5,29.011491975882,0.656081442012298,0.0575330739609702,0.501884606432682,0.00192558078897828,0.644798476297599,0.0374801473510474,0.50288131920269,0.00673708237981131,0.802864433938598,0.0545244478261448,0.513605781555506,0.0111968177720961,0.623454859228147,0.0439117176375688,0.504029706276249,0.00353141710122883,0.67703305304116,0.0476660556547999,0.506954243124764,0.00491056660383016,0.801888699736488,0.0527702619120789,0.507238280187306,0.00923232126754073
8,50.5,29.011491975882,0.655126152215325,0.0582852500737491,0.503328948659714,0.00428614306458844,0.645103597015225,0.0385818554944648,0.50272872628157,0.00620521123525357,0.802955417788513,0.0666736285126032,0.513896012299301,0.00982237223497089,0.62265906095679,0.0455428950459428,0.504426924344022,0.00390498963370328,0.679302324842097,0.0504152931850914,0.509865373748816,0.00944680726036815,0.801958060402317,0.0651198579275458,0.503431958656958,0.00438394475446907
9,50.5,29.011491975882,0.654973720861447,0.0574689457846988,0.504515894431485,0.00675434617169067,0.646406927588472,0.0390189528795416,0.503062863340658,0.00555127913474775,0.805052294758244,0.0741000086126598,0.516501272200542,0.0118172010115766,0.624495170747848,0.0463161167935489,0.505021053301928,0.00359217600751812,0.679076691299785,0.051176037133319,0.506508514453296,0.00425827927982616,0.805767586341064,0.0725439909523051,0.50345603221552,0.00426966485958441
