"recon","cyber","disinfo","comb","cyber2","disinfo2","step"
0,0,0,0,0,0,0
200,26,0,17,54,0,1
200,26,0,17,54,0,2
200,26,0,17,54,0,3
200,26,0,17,54,0,4
200,26,0,17,54,0,5
200,26,0,17,54,0,6
200,26,0,17,54,0,7
200,26,0,17,54,0,8
200,26,0,17,54,0,9
200,26,0,17,54,0,10
200,26,0,17,54,0,11
200,26,0,17,54,0,12
200,26,0,17,54,0,13
200,26,0,17,54,0,14
200,26,0,17,54,0,15
200,26,0,17,54,0,16
200,26,0,17,54,0,17
200,26,0,17,54,0,18
200,26,0,17,54,0,19
200,26,0,17,54,0,20
200,26,0,17,54,0,21
200,26,0,17,54,0,22
200,26,0,17,54,0,23
200,26,0,17,54,0,24
200,26,0,17,54,0,25
200,26,0,17,54,0,26
200,26,0,17,54,0,27
200,26,0,17,54,0,28
200,26,0,17,54,0,29
200,26,0,17,54,0,30
200,26,0,17,54,0,31
200,26,0,17,54,0,32
200,26,0,17,54,0,33
200,26,0,17,54,0,34
200,26,0,17,54,0,35
200,26,0,17,54,0,36
200,26,0,17,54,0,37
200,26,0,17,54,0,38
200,26,0,17,54,0,39
200,26,0,17,54,0,40
200,26,0,17,54,0,41
200,26,0,17,54,0,42
200,26,0,17,54,0,43
200,26,0,17,54,0,44
200,26,0,17,54,0,45
200,26,0,17,54,0,46
200,26,0,17,54,0,47
200,26,0,17,54,0,48
200,26,0,17,54,0,49
200,26,0,17,54,0,50
200,26,0,17,54,0,51
200,26,0,17,54,0,52
200,26,0,17,54,0,53
200,26,0,17,54,0,54
200,26,0,17,54,0,55
200,26,0,17,54,0,56
200,26,0,17,54,0,57
200,26,0,17,54,0,58
200,26,0,17,54,0,59
200,26,0,17,54,0,60
200,26,0,17,54,0,61
200,26,0,17,54,0,62
200,26,0,17,54,0,63
200,26,0,17,54,0,64
200,26,0,17,54,0,65
200,26,0,17,54,0,66
200,26,0,17,54,0,67
200,26,0,17,54,0,68
200,26,0,17,54,0,69
200,26,0,17,54,0,70
200,26,0,17,54,0,71
200,26,0,17,54,0,72
200,26,0,17,54,0,73
200,26,0,17,54,0,74
200,26,0,17,54,0,75
200,26,0,17,54,0,76
200,26,0,17,54,0,77
200,26,0,17,54,0,78
200,26,0,17,54,0,79
200,26,0,17,54,0,80
200,26,0,17,54,0,81
200,26,0,17,54,0,82
200,26,0,17,54,0,83
200,26,0,17,54,0,84
200,26,0,17,54,0,85
200,26,0,17,54,0,86
200,26,0,17,54,0,87
200,26,0,17,54,0,88
200,26,0,17,54,0,89
200,26,0,17,54,0,90
200,26,0,17,54,0,91
200,26,0,17,54,0,92
200,26,0,17,54,0,93
200,26,0,17,54,0,94
200,26,0,17,54,0,95
200,26,0,17,54,0,96
200,26,0,17,54,0,97
200,26,0,17,54,0,98
200,26,0,17,54,0,99
200,26,0,17,54,0,100
