recon,cyber,disinfo,comb,cyber2,disinfo2
0.0,0.0,0.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
200.0,73.0,9.0,0.0,0.0,0.0
