total_rewards,recon_rewards,cyber_attack_rewards,disinfo_rewards, term_rewards,loss1_history,loss2_history,loss3_history
3138.0,2000.0,68.0,2020.0,-10.0,0.0,0.0,0.0
3420.0,2000.0,350.0,2020.0,-10.0,0.0,0.0,0.0
3392.0,2000.0,442.0,1900.0,-10.0,0.0,0.0,0.0
4243.0,2000.0,1253.0,1940.0,-10.0,0.0,0.0,0.0
3337.0,2000.0,307.0,1980.0,-10.0,0.0,0.0,0.0
3211.0,2000.0,171.0,1990.0,-10.0,0.0,0.0,0.0
3016.0,2000.0,106.0,1860.0,-10.0,0.0,0.0,0.0
3520.0,2000.0,550.0,1920.0,-10.0,0.0,0.0,0.0
3182.0,2000.0,152.0,1980.0,-10.0,0.0,0.0,0.0
3184.0,2000.0,254.0,1880.0,-10.0,0.0,0.0,0.0
3143.0,2000.0,243.0,1850.0,-10.0,0.0,0.0,0.0
3164.0,2000.0,224.0,1890.0,-10.0,0.0,0.0,0.0
3139.0,2000.0,169.0,1920.0,-10.0,0.0,0.0,0.0
3215.0,2000.0,235.0,1930.0,-10.0,0.0,0.0,0.0
2981.0,2000.0,101.0,1830.0,-10.0,0.0,0.0,0.0
3394.0,2000.0,364.0,1980.0,-10.0,0.0,0.0,0.0
3262.0,2000.0,212.0,2000.0,-10.0,0.0,0.0,0.0
3280.0,2000.0,200.0,2030.0,-10.0,0.0,0.0,0.0
3228.0,2000.0,158.0,2020.0,-10.0,0.0,0.0,0.0
3116.0,2000.0,86.0,1980.0,-10.0,0.0,0.0,0.0
3200.0,2000.0,120.0,2030.0,-10.0,0.0,0.0,0.0
3198.0,2000.0,128.0,2020.0,-10.0,0.0,0.0,0.0
3286.0,2000.0,256.0,1980.0,-10.0,0.0,0.0,0.0
3250.0,2000.0,170.0,2030.0,-10.0,0.0,0.0,0.0
3258.0,2000.0,188.0,2020.0,-10.0,0.0,0.0,0.0
3246.0,2000.0,216.0,1980.0,-10.0,0.0,0.0,0.0
