total_rewards,action_rewards,opinion_rewards,social_trust_sp0,social_trust_sp1,social_trust_sp2,request_rate_sp0,request_rate_sp1,request_rate_sp2,op0_expression_rate,op1_expression_rate,op2_expression_rate,op3_expression_rate,op4_expression_rate,op5_expression_rate,availability_sp0,availability_sp1,availability_sp2
119650.0,60801.0,58849.0,0.0,0.0,0.0,37.078,22.828,40.094,0.924,34.552,0.022,22.328,0.028,42.146,0.8913641512487189,0.8718240756965131,0.8453633960193545
118426.0,59821.0,58605.0,0.0,0.0,0.0,37.044,22.854,40.102,0.946,34.488,0.022,22.196,0.038,42.31,0.8726919339164237,0.8722324319593944,0.839210014463119
118810.0,60184.0,58626.0,0.0,0.0,0.0,37.058,22.806,40.136,0.98,34.34,0.016,22.152,0.024,42.488,0.8782988828323169,0.8392528282031044,0.8616204903328682
119226.0,60103.0,59123.0,0.0,0.0,0.0,37.066,22.804,40.13,0.938,34.426,0.016,22.302,0.046,42.272,0.8648896562887822,0.8611647079459744,0.8572140543234488
120179.0,60844.0,59335.0,0.0,0.0,0.0,37.034,22.822,40.144,0.9,34.52,0.03,22.418,0.036,42.096,0.8625047253874818,0.894575409692402,0.8603029095257074
118233.0,59291.0,58942.0,0.0,0.0,0.0,37.102,22.778,40.12,0.878,34.574,0.03,22.236,0.034,42.248,0.851544391137944,0.8506453595574678,0.8559322033898306
115768.0,57616.0,58152.0,0.0,0.0,0.0,37.018,22.818,40.164,0.916,34.178,0.024,22.466,0.036,42.38,0.8655789075584851,0.872907353843457,0.7908574843143114
118474.0,59855.0,58619.0,0.0,0.0,0.0,37.042,22.836,40.122,0.946,34.42,0.028,22.346,0.03,42.23,0.8173424761082015,0.8714310737432125,0.8897363042719705
120869.0,61606.0,59263.0,0.0,0.0,0.0,37.03,22.832,40.138,0.934,34.402,0.02,22.33,0.032,42.282,0.8615716986227383,0.8732480728801681,0.890627335691863
115339.0,56857.0,58482.0,0.0,0.0,0.0,37.114,22.822,40.064,0.91,34.508,0.022,22.322,0.03,42.208,0.7854179016004742,0.8454123214442205,0.8599241214057508
115119.0,56816.0,58303.0,0.0,0.0,0.0,37.002,22.8,40.198,0.93,34.302,0.02,22.43,0.024,42.294,0.8179017350413491,0.8541228070175438,0.8240708492959848
118370.0,59471.0,58899.0,0.0,0.0,0.0,37.092,22.83,40.078,0.946,34.386,0.014,22.398,0.044,42.212,0.8663323627736439,0.857993867717915,0.8432057487898598
121466.0,62166.0,59300.0,0.0,0.0,0.0,37.072,22.806,40.122,0.952,34.368,0.02,22.292,0.028,42.34,0.8820673284419508,0.8568797684819784,0.8962663875180699
118232.0,59384.0,58848.0,0.0,0.0,0.0,36.996,22.852,40.152,1.034,34.38,0.02,22.358,0.036,42.172,0.8621472591631528,0.818921757395414,0.8669555688384141
120117.0,61070.0,59047.0,0.0,0.0,0.0,37.104,22.832,40.064,0.934,34.538,0.014,22.31,0.026,42.178,0.8773178094006037,0.8400490539593553,0.8828873801916933
118996.0,59854.0,59142.0,0.0,0.0,0.0,37.102,22.802,40.096,0.986,34.44,0.024,22.296,0.038,42.216,0.8496037949436688,0.8272958512411192,0.884976057462091
119878.0,60814.0,59064.0,0.0,0.0,0.0,37.064,22.812,40.124,0.966,34.48,0.008,22.326,0.044,42.176,0.8652600906540039,0.8357881816587761,0.8909879373940783
117827.0,59239.0,58588.0,0.0,0.0,0.0,37.142,22.774,40.084,0.966,34.294,0.02,22.378,0.018,42.324,0.8560659092132895,0.8413980855361377,0.8566510328310548
119639.0,60831.0,58808.0,0.0,0.0,0.0,37.154,22.748,40.098,0.956,34.37,0.022,22.21,0.034,42.408,0.8578349572051461,0.869878670652365,0.8803431592598134
115381.0,56794.0,58587.0,0.0,0.0,0.0,37.07,22.832,40.098,0.936,34.492,0.016,22.254,0.032,42.27,0.8332883733477205,0.7920462508759636,0.8443313880991571
116520.0,58047.0,58473.0,0.0,0.0,0.0,37.06,22.796,40.144,0.952,34.442,0.01,22.272,0.044,42.28,0.896492174851592,0.8545358834883313,0.7818353925866879
119148.0,60261.0,58887.0,0.0,0.0,0.0,37.078,22.838,40.084,0.966,34.592,0.016,22.346,0.026,42.054,0.8202707805167485,0.8851037744110692,0.8887336593154376
119209.0,60094.0,59115.0,0.0,0.0,0.0,37.066,22.826,40.108,0.894,34.426,0.018,22.342,0.034,42.286,0.8570657745642907,0.8686585472706563,0.8617732123267179
121117.0,62113.0,59004.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8537585667260267,0.8888694281460723,0.9030423940149626
116833.0,58163.0,58670.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8075657007177163,0.8773097469130396,0.8538154613466334
117521.0,59151.0,58370.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.882683071609735,0.8762588668009458,0.8096259351620948
117673.0,58899.0,58774.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.034,42.188,0.8555933300955156,0.8780979069971101,0.8273316708229427
116067.0,57705.0,58362.0,0.0,0.0,0.0,37.064,22.834,40.102,0.966,34.512,0.018,22.282,0.036,42.186,0.8246276710554716,0.8525006569151266,0.8407560720163583
118305.0,59411.0,58894.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8684366736819383,0.8792363604518785,0.8275810473815461
115952.0,57455.0,58497.0,0.0,0.0,0.0,37.06,22.84,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8392336751214248,0.8350262697022767,0.8310224438902744
117087.0,58433.0,58654.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8690302735955966,0.8283562483579998,0.8316209476309226
117892.0,59255.0,58637.0,0.0,0.0,0.0,37.064,22.836,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8394129074034103,0.8448064459625153,0.8701745635910224
119251.0,60363.0,58888.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8877016890615725,0.8317716087223049,0.8605486284289277
120301.0,61287.0,59014.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8922885974852949,0.8599702250634906,0.8632917705735661
119643.0,60619.0,59024.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8398359505693163,0.8567300113845345,0.8969576059850374
116541.0,57905.0,58636.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8555933300955156,0.8035729923811192,0.8449875311720698
120357.0,61161.0,59196.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.034,42.188,0.8705412551939993,0.8387774761362641,0.8923192019950125
117187.0,58697.0,58490.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.034,42.188,0.8362203874588527,0.849111130571854,0.8567082294264339
115715.0,57219.0,58496.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.034,42.188,0.8191139172197939,0.8411419563884753,0.8401995012468828
121553.0,62355.0,59198.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8940693972262695,0.8624222786583764,0.8868827930174563
118206.0,59437.0,58769.0,0.0,0.0,0.0,37.062,22.84,40.098,0.966,34.512,0.018,22.282,0.036,42.186,0.8483082402460741,0.8314360770577933,0.8741084343358771
118997.0,60243.0,58754.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8626086018023852,0.8554164112444173,0.867281795511222
116503.0,58073.0,58430.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8510603853003076,0.8533146510202294,0.8250374064837905
118723.0,59809.0,58914.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8099401003723491,0.8947368421052632,0.8827431421446384
120301.0,61401.0,58900.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8560250391236307,0.8767843068569927,0.8900748129675811
117205.0,58769.0,58436.0,0.0,0.0,0.0,37.06,22.84,40.1,0.966,34.51,0.02,22.282,0.036,42.186,0.8575822989746357,0.8765323992994746,0.8231920199501247
116318.0,57935.0,58383.0,0.0,0.0,0.0,37.06,22.84,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8591473286562331,0.8768826619964973,0.8007481296758104
112637.0,54495.0,58142.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8161459176515029,0.8108415798231019,0.7922693266832918
117314.0,58587.0,58727.0,0.0,0.0,0.0,37.064,22.836,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8506367364558601,0.8241373270275004,0.8549127182044888
121817.0,62701.0,59116.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8989800874210782,0.8979770557842193,0.8707231920199501
117425.0,58775.0,58650.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.034,42.188,0.8609896929469537,0.8469217970049917,0.8371072319201995
117301.0,58437.0,58864.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8609357293184394,0.826955074875208,0.84
112261.0,54379.0,57882.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8306621337218715,0.8159208336982222,0.773067331670823
117173.0,58483.0,58690.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.034,42.188,0.8311478063785009,0.8587441982660479,0.8505735660847881
114979.0,56563.0,58416.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8278560250391236,0.8556791312724407,0.8074812967581048
116897.0,58325.0,58572.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8600723112622093,0.8256414747350906,0.8387531172069825
118703.0,59925.0,58778.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8462576223625277,0.8268675015325335,0.8907231920199501
118283.0,59547.0,58736.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8655766013706762,0.8373763026534723,0.8574563591022444
118871.0,59925.0,58946.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8483082402460741,0.8410543830458008,0.8807481296758105
119731.0,60767.0,58964.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8644973288003885,0.8569051580698835,0.8777556109725686
119246.0,60233.0,59013.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.51,0.02,22.282,0.036,42.186,0.8762074361880093,0.8426307032139416,0.8617456359102245
118176.0,59553.0,58623.0,0.0,0.0,0.0,37.06,22.84,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8598488936859148,0.8971978984238179,0.8288778054862843
120178.0,61291.0,58887.0,0.0,0.0,0.0,37.064,22.836,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8838765378804231,0.8769486775267122,0.8615461346633416
118881.0,60365.0,58516.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8648211105714748,0.878448200367808,0.8551620947630922
118217.0,59451.0,58766.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8583994387782634,0.8872931079779315,0.8332668329177058
117829.0,59155.0,58674.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8314176245210728,0.8900078816008407,0.8492768079800499
119211.0,60331.0,58880.0,0.0,0.0,0.0,37.062,22.836,40.102,0.966,34.512,0.018,22.282,0.036,42.186,0.8937995790836976,0.8633736205990541,0.8361178993566406
121161.0,62163.0,58998.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8886730343748314,0.8626849986863998,0.886932668329177
116231.0,57645.0,58586.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8474987858183585,0.818197740607759,0.8376558603491272
119487.0,60519.0,58968.0,0.0,0.0,0.0,37.062,22.836,40.102,0.966,34.512,0.018,22.282,0.036,42.186,0.8728616912201176,0.8731826939919426,0.8545708443469153
116254.0,57585.0,58669.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.51,0.02,22.282,0.036,42.186,0.7962873023582105,0.8823890007881601,0.846932668329177
115288.0,57049.0,58239.0,0.0,0.0,0.0,37.06,22.84,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8134916351861846,0.8108581436077058,0.8584538653366584
116481.0,58237.0,58244.0,0.0,0.0,0.0,37.062,22.838,40.1,0.966,34.512,0.018,22.282,0.036,42.186,0.8926663428848955,0.8470969436903406,0.794214463840399
